Código,Título,Publicação,Caderno,Página,Tamanho,Assunto,Resumo,Tipologia,Tipologia_Editorial,Política_Externa,G_x_N,Norte__Sul,Sul__Sul,Negociações,Atitude,Univers_x_Reg,Estados_Unidos,China,Argentina,Venezuela,Bolivia,Cuba,União_Européia,Índia,Irã,Palestina,Rússia,África_do_Sul,África,Ásia,Oriente_Médio,África_Portuguesa,Protagonismo,OMC,ONU,G20,FMI,Banco_Mundial,OEA,IBAS,BRICS,BASIC,Mercosul,Unasul,CELAC,Reformas,Controle_do_Comércio_de_Armas,Natureza_da_Negociação,Regime_de_Mudança_Climática,Desenvolvimento_Sustentável,TNP,Negociações_com_o_Irã,Ministério,Ministro,Presidencial
OG 15.09.28 (1),Ainda dá tempo de mudar 2030,Opinião,Primeiro,17,4941,Agenda Pós-2015,"BR e outros líderes se comprometeram em adotar a Agenda Pós-2015 para acabar com a extrema pobreza, resolver a qeustão ambiental e reduzir desigualdades. O Brasil tem um papel central nessa nova agenda.",1,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9
OG 15.04.04 (1),Momento de repensar a Alca,Opinião,Primeiro,19,4926,ALCA,"A Cúpula das Américas seria a oportunidade de relançar a Alca. Os líderes, BR e EUA deveria buscar o acordo para promover uma área unificada de livre comércio.",1,2,0,1,1,1,1,1,1,1,0,0,0,9,1,1,9,9,9,0,9,9,9,9,9,1,0,9,9,9,9,9,9,2,9,2,9,9,9,9,1,9,9,9,9,9,9,0
FSP 15.10.07 (2),Crise da esquerda latino-americana é desvio temporário,Mundo,Primeiro Caderno,11,4803,América do Sul,"Em entrevista A. Linera, VP da Bolívia. Esquerda dois erros:descuido dos vínculos com setores sociais e dificuldade para distribuir peso de ajuste econômico; desvio temporario de substituição de lideres. Governos de esq. no BR: governos no cont",4,2,2,9,9,9,1,9,2,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
ESP 15-01-15 (1),O Brasil muito mal na economia regional,ESP,A,2,5435,América Latina,"",2,2,2,1,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9
ESP 15-02-20 (1),Um lugar no mundo,ESP,A,2,5653,América Latina,"",2,2,0,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,0,1,9,9,9,9,9,9,9,9,9
FSP 15.04.18 (1),Baile à fantasia,Mundo,Primeiro Caderno,19,3093,América Latina,"Porto descreve a antiga relação dos Eua com América Latina como a de um lobo mau com uma Chapeuzinho Vermelho. Diz que não há mais razão para manter essas posições, afinal Cuba voltou ao sistema interamericano e esvaziou-se o discurso vitimizad",4,2,2,9,1,9,2,1,1,1,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.10.29 (2),Ressaca da 'onda rosa'?,Mundo,Primeiro Caderno,16,3095,América Latina,"Rossi fala sobre perspectiva de ressaca da chamada ""onda rosa"", a ascensão ao poder de partidos de esquerda. Legado perene: a atenção aos pobres, via programas tipo Bolsa Família, não sairá da agenda nem que voltem os mais conservadores.",4,2,0,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,0
VLR 15-04-14 (1),Cúpula das América cria um promissor clima de distensão,VLR,A,7,4368,América Latina,"",3,1,1,1,1,1,3,1,1,1,9,9,0,0,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,0,9,1,9,9,9,9,9,9,9,9,9
ESP 15-05-23 (1),"O desespero, do Haiti a São Paulo",ESP,A,2,5829,Atuação do Brasil no Haiti,"Impacto da atuação no Haiti, desde as missões de paz até a instalação de um governo",2,2,2,1,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
ESP 15-06-04 (1),Licões do Haiti,ESP,A,3,3909,Atuação do Brasil no Haiti,Balanço sobre operações de paz brasileiras no Haiti,2,1,2,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
ESP 15-01-11 (1),O Brasil na extrema fragilidade do BRICS,ESP,A,2,5728,BRICS,"",2,2,0,1,0,1,1,9,1,0,0,9,9,9,9,0,0,9,9,0,0,0,9,9,9,1,9,9,9,0,0,9,9,0,9,9,9,9,1,9,1,9,9,9,9,9,9,9
ESP 15-07-02 (1),O FMI não se adaptou ao século 21,ESP,A,6,7677,BRICS,Atuação do Brasil no Banco do BRICS,2,2,1,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,0,0,0,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.01.23 (1),Brússia X Chíndia,Mundo,Primeiro Caderno,14,3067,BRICS,Troyjo enaltece que há um momento de divergência entre os BRICS. Brasil e Rússia não demonstram aumentar seu peso no mundo nos próximos anos como China e Índia.,4,2,2,9,9,1,2,2,1,9,0,9,9,9,9,9,0,9,9,0,1,9,9,9,9,1,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.02.27 (1),Plano Marshall chinês?,Mundo,Primeiro Caderna,15,3109,BRICS,"Troyjo compara a estagnação do Brasil com o crescimento e gigantismo comercial da China. Afirma que o último tem investimentos pelo mundo todo e que chineses chamam tais investimentos (incluindo o banco dos Brics, por exemplo) de Plano Marshall",4,2,0,1,9,1,2,9,1,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,1,9,9,9,9,9,9,9
FSP 15.07.05 (2),"Depois de Obama, Putin",Mundo,Primeiro Caderno,16,3011,BRICS,"Rossi diz que após encontro com Obama, Dilma se encontrará com Putin em Cúpula dos Brics. Afirma que durante o encontro serão discutidas questões políticas, mas que o Brasil pretende focar em finalidades econômico-financeiras",4,2,1,1,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,0,9,9,1,9,9,9,9,9,9,1,9,9,9,9,0,9,0
FSP 15.07.21 (1),O banco dos Brics e o fim de uma era,Tendências e debates,Primeiro Caderno,3,3485,BRICS,"Miranda diz que com a descoberta da espionagem nos EUA, Brasil se aproximou dos Brics e aprovou um novo banco de desenvolvimento. Questiona se essa decisão funcionaria como um grupo contra hegemônico e se EUA continuará espionando o Brasil",4,2,0,1,2,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,0,0,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,0
FSP 15.08.23 (1),Um fracasso planetário,Mundo,Primeiro Caderno,18,2931,BRICS,"Brasil não fará sua parte no G-20, grupo que objetiva crescimento global acima do proposto pelo FMI. Mas não há metas individuais, BR não está sendo cobrados por isso. Outros grandes países também estarão abaixo da meta.",4,2,2,1,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.10.25 (1),Nogueira Batista vê ameaça à democracia e pede queda nos juros,Mercado,Primeiro Caderno,9,15963,BRICS,"Entrevista- Paulo N. Batista Jr, vice-presidente do banco dos Brics, o NBD, frustração dos países dos Brics com a lentidão do processo de reforma e atualização do FMI e do BM. Crise política ameaça democracia no BR. País precisa de investimento",4,2,1,1,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.11.17 (1),Exageros sobre os Brics,Opinião,Primeiro Caderno,2,2546,BRICS,"Opiniões extremas: perspectiva de crescimento acelerado dessas nações, bloco reforçado na crise de 2008; criação de banco dos Brics. Versus: Brics não faz mais sentido, emergente dívidas e desequilíbrios dos excessos. Necessário corrigir rumos",4,1,0,1,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,2,2,9,9,0,9,9,9,9,9,9,1,9,9,9,9,9,9,9
OG 15.03.06 (1),"Rio, Brasil, Brics",Opinião,Primeiro,17,3168,BRICS,"A cidade de RJ deve ser fortalecida como polo internacional e, junto com o BNDES, sediar escritório regional do NDB (banco do BRICS). É importante ter representação brasileira no corpo técnico.",1,2,0,1,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
